iter	Passed	Remaining
854	14181	2405
855	14199	2388
856	14215	2372
857	14234	2355
858	14253	2339
859	14267	2322
860	14283	2305
861	14303	2289
862	14319	2273
863	14333	2256
864	14348	2239
865	14364	2222
866	14380	2205
867	14398	2189
868	14417	2173
869	14433	2156
870	14447	2139
871	14464	2123
872	14484	2107
873	14500	2090
874	14515	2073
875	14531	2056
876	14545	2040
877	14561	2023
878	14576	2006
879	14592	1989
880	14609	1973
881	14627	1956
882	14642	1940
883	14657	1923
884	14673	1906
885	14688	1889
886	14702	1873
887	14718	1856
888	14735	1839
889	14750	1823
890	14765	1806
891	14782	1789
892	14799	1773
893	14814	1756
894	14837	1740
895	14854	1724
896	14870	1707
897	14886	1690
898	14900	1673
899	14915	1657
900	14931	1640
901	14949	1624
902	14964	1607
903	14982	1591
904	14997	1574
905	15011	1557
906	15031	1541
907	15048	1524
908	15065	1508
909	15080	1491
910	15094	1474
911	15107	1457
912	15123	1441
913	15141	1424
914	15160	1408
915	15180	1392
916	15197	1375
917	15214	1359
918	15229	1342
919	15246	1325
920	15263	1309
921	15281	1292
922	15296	1276
923	15314	1259
924	15330	1243
925	15349	1226
926	15365	1209
927	15381	1193
928	15396	1176
929	15410	1159
930	15425	1143
931	15442	1126
932	15457	1110
933	15472	1093
934	15487	1076
935	15503	1060
936	15519	1043
937	15535	1026
938	15551	1010
939	15568	993
940	15589	977
941	15605	960
942	15619	944
943	15634	927
944	15649	910
945	15665	894
946	15681	877
947	15697	861
948	15712	844
949	15730	827
950	15746	811
951	15762	794
952	15776	778
953	15793	761
954	15812	745
955	15827	728
956	15844	711
957	15861	695
958	15879	678
959	15898	662
960	15912	645
961	15929	629
962	15944	612
963	15960	596
964	15977	579
965	15994	562
966	16010	546
967	16025	529
968	16041	513
969	16059	496
970	16073	480
971	16090	463
972	16105	446
973	16123	430
974	16139	413
975	16155	397
976	16172	380
977	16190	364
978	16207	347
979	16222	331
980	16238	314
981	16255	297
982	16271	281
983	16289	264
984	16305	248
985	16322	231
986	16340	215
987	16356	198
988	16373	182
989	16390	165
990	16407	149
991	16421	132
992	16437	115
993	16451	99
994	16468	82
995	16483	66
996	16501	49
997	16517	33
998	16534	16
999	16548	0
